name,image,link,ratings,no_of_ratings,discount_price,actual_price,name_length,price_difference,rating_ratio,log_actual_price,discount_percentage,yeojohnson_actual,yeojohnson_discount
"qubo 10a smart plug from hero group |energy monitoring, suitable for small devices like tvs, air purifiers, kettles, mobil...",https://m.media-amazon.com/images/I/51BEMngxVeL._AC_UL800_.jpg,https://www.amazon.in/Monitoring-Suitable-purifiers-Chargers-Assistant/dp/B0BRQBHTTF/ref=sr_1_3103?qid=1679133848&s=electronics&sr=1-3103,4.5,96.0,740.0,1990.0,125.0,1250.0,0.046875,7.596392304064196,62.8140703517588,0.7400288541496806,0.8029714612272287
"techmount� replacement silicone band straps compatible with xiaomi mi band 3 & 4 (xiaomi mi band 3 & 4, black/grey/navy-bl...",https://m.media-amazon.com/images/I/511gqvCDouL._AC_UL800_.jpg,https://www.amazon.in/TechMount%EF%BF%BD-Replacement-Band-Xiaomi-Light-Green/dp/B09RB344BT/ref=sr_1_3105?qid=1679133848&s=electronics&sr=1-3105,4.2,334.0,299.0,999.0,125.0,700.0,0.012574850299401199,6.907755278982137,70.07007007007007,-0.20526698702711738,-0.44918014525356836
supcares edge to edge tempered glass for samsung galaxy s21 fe 5g (6.4 inch) with easy self installation kit | black,https://m.media-amazon.com/images/I/712n35EVjYL._AC_UL800_.jpg,https://www.amazon.in/SupCares-Tempered-Samsung-Galaxy-Installation/dp/B0BFMMSDP4/ref=sr_1_3106?qid=1679133848&s=electronics&sr=1-3106,4.2,93.0,289.0,799.0,116.0,510.0,0.04516129032258065,6.684611727667927,63.829787234042556,-0.4788799076021007,-0.4962556824857864
amazon brand - solimo back cover for lg g8x thinq (silicone_clear),https://m.media-amazon.com/images/I/616f4O3AACL._AC_UL800_.jpg,https://www.amazon.in/Amazon-Brand-Shockproof-Cushioned-Transparent/dp/B08YKCDMW3/ref=sr_1_3107?qid=1679133848&s=electronics&sr=1-3107,4.3,424.0,169.0,499.0,66.0,330.0,0.010141509433962264,6.214608098422191,66.13226452905812,-1.0084474860186226,-1.2391144133799203
zapcase thermoplastic polyurethane back case cover for iphone 13 | compatible for iphone 13 back case cover | scratch-resi...,https://m.media-amazon.com/images/I/71Cog-DJhLL._AC_UL800_.jpg,https://www.amazon.in/Zapcase-Thermoplastic-Polyurethane-Compatible-Scratch-Resistant/dp/B0BLK9SMNB/ref=sr_1_3108?qid=1679133848&s=electronics&sr=1-3108,4.2,59.0,499.0,899.0,125.0,400.0,0.0711864406779661,6.802394763324311,44.493882091212456,-0.3363243352178782,0.259020138783283
eveready ultima alkaline aa battery - pack of 4,https://m.media-amazon.com/images/I/81WUfIZjnkL._AC_UL800_.jpg,https://www.amazon.in/Eveready-ALK-AA-BP4-Battery/dp/B00PIU0SYU/ref=sr_1_3109?qid=1679133848&s=electronics&sr=1-3109,4.3,66.0,112.0,170.0,47.0,58.0,0.06515151515151515,5.14166355650266,34.11764705882353,-2.0112818120246967,-1.8087445092157772
spigen ultra hybrid back cover case compatible with iphone 14 pro (tpu + poly carbonate | matte black),https://m.media-amazon.com/images/I/61VefiWB8cL._AC_UL800_.jpg,https://www.amazon.in/Spigen-Hybrid-Compatible-iPhone-Carbonate/dp/B0B1PBMC8T/ref=sr_1_3110?qid=1679133848&s=electronics&sr=1-3110,4.5,842.0,1599.0,2599.0,102.0,1000.0,0.005344418052256532,7.8632667240095735,38.47633705271258,1.1514987587000534,1.8637140299786465
"crucial basics 8gb ddr4 1.2v 2666mhz cl19 sodimm ram memory module for laptops and notebooks, green",https://m.media-amazon.com/images/I/61JkeSh75NL._AC_UL800_.jpg,https://www.amazon.in/Crucial-Basics-2666Mhz-Laptops-Notebooks/dp/B08BC2V71W/ref=sr_1_3111?qid=1679133848&s=electronics&sr=1-3111,4.5,299.9622929380994,1521.0,2800.0,99.0,1279.0,0.01500188559009524,7.937731775260109,45.67857142857143,1.2711983077155333,1.794987822870132
"quantum rj45 ethernet patch/lan/router cable with gold plated connectors supports upto 1000mbps -16.4feet (5 meters), white",https://m.media-amazon.com/images/I/51rjBS3DwCL._AC_UL800_.jpg,https://www.amazon.in/Quantum-Ethernet-CAT5-RJ45-Straight/dp/B00GZLJ3EM/ref=sr_1_3112?qid=1679133848&s=electronics&sr=1-3112,4.3,299.9622929380994,229.0,499.0,123.0,270.0,0.014335135119424339,6.214608098422191,54.10821643286573,-1.0084474860186226,-0.8183847784906416
"smashtronics® - case for firetv remote, fire stick remote cover case, silicone cover for tv firestick 4k/tv 2nd gen(3rd ge...",https://m.media-amazon.com/images/I/51myG6dVDOL._AC_UL800_.jpg,https://www.amazon.in/Smashtronics%C2%AE-Silicone-Firestick-Control-Shockproof/dp/B09L835C3V/ref=sr_1_3114?qid=1679133848&s=electronics&sr=1-3114,4.2,299.9622929380994,199.0,399.0,125.0,200.0,0.01400175988408889,5.991464547107982,50.125313283208015,-1.239281560361799,-1.012819906065933
